TimeStamp,TagName,Average,Status,PercentageOfGoodValues
2023-12-12,ARA_FC1_GROSS,1681.0,OK,0.9877236783504486
2023-12-12,ARA_FC1_NET,162021.0,OK,0.9844438135623932
2023-12-12,ARA_FC1_MASS,132.0,OK,0.9867326319217682
2023-12-12,ARA_FC1_ENERGY,6491.599,OK,0.9772779941558838
2023-12-12,ARA_FC1_S1_P,303.48,OK,0.9520317912101746
2023-12-12,ARA_FC1_S2_P,8239.98,OK,0.7168508470058441
2023-12-12,ARA_FC1_S1_T,0.63,OK,0.9480099081993103
2023-12-12,ARA_FC1_S2_T,28.75,OK,0.9155572056770325
2023-12-12,ARA_FC1_GC_C1,86.154,OK,0.9901303648948669
2023-12-12,ARA_FC1_GC_C2,7.287,OK,0.9924317002296448
2023-12-12,ARA_FC1_GC_C3,2.764,OK,0.9271399676799774
2023-12-12,ARA_FC1_GC_IC4,0.579,OK,0.9738374352455139
2023-12-12,ARA_FC1_GC_NC4,0.752,OK,0.9626978039741516
2023-12-12,ARA_FC1_GC_IC5,0.185,OK,0.9880791008472443
2023-12-12,ARA_FC1_GC_NC5,0.12,OK,0.9862910211086273
2023-12-12,ARA_FC1_GC_C6,0.1036,OK,0.9906910061836243
2023-12-12,ARA_FC1_GC_N2,0.331,OK,0.9906045496463776
2023-12-12,ARA_FC1_GC_CO2,1.726,OK,0.9916694164276123
2023-12-12,ARA_FC1_GC_HV,42.28,OK,0.9918647110462189
2023-12-12,ARA_FC1_DENS_AC,71.29,OK,0.9860427379608154
2023-12-12,ARA_FC1_DENS_SC,0.66,OK,0.9872860312461853
