TimeStamp,TagName,Average,Status,PercentageOfGoodValues
2023-12-14,ARA_FC1_GROSS,1728.0,OK,0.9888639450073242
2023-12-14,ARA_FC1_NET,167475.0,OK,0.9810301959514618
2023-12-14,ARA_FC1_MASS,136.0,OK,0.9851490259170532
2023-12-14,ARA_FC1_ENERGY,6708.65,OK,0.9568162858486176
2023-12-14,ARA_FC1_S1_P,7476.98,OK,0.9561783373355865
2023-12-14,ARA_FC1_S2_P,8260.21,OK,0.7949636280536652
2023-12-14,ARA_FC1_S1_T,20.17,OK,0.9600139558315277
2023-12-14,ARA_FC1_S2_T,28.17,OK,0.8999288082122803
2023-12-14,ARA_FC1_GC_C1,86.172,OK,0.9900064170360565
2023-12-14,ARA_FC1_GC_C2,7.273,OK,0.9923037588596344
2023-12-14,ARA_FC1_GC_C3,2.755,OK,0.9816510677337646
2023-12-14,ARA_FC1_GC_IC4,0.579,OK,0.9753459095954895
2023-12-14,ARA_FC1_GC_NC4,0.751,OK,0.9898605346679688
2023-12-14,ARA_FC1_GC_IC5,0.186,OK,0.9890293478965759
2023-12-14,ARA_FC1_GC_NC5,0.123,OK,0.9903430342674255
2023-12-14,ARA_FC1_GC_C6,0.1036,OK,0.9916742742061615
2023-12-14,ARA_FC1_GC_N2,0.329,OK,0.991411417722702
2023-12-14,ARA_FC1_GC_CO2,1.729,OK,0.9917258024215698
2023-12-14,ARA_FC1_GC_HV,42.27,OK,0.9913639426231384
2023-12-14,ARA_FC1_DENS_AC,71.29,OK,0.9867728352546692
2023-12-14,ARA_FC1_DENS_SC,0.66,OK,0.9901139438152313
